,areacode_m,areaname_m,garea_large.areacode_l,garea_large.areaname_l,pref.pref_code,pref.pref_name
67,AREAM6173,遠野,AREAL6152,花巻・北上・遠野,PREF03,岩手県
68,AREAM6181,洋野・久慈・普代,AREAL6153,三陸海岸沿岸部,PREF03,岩手県
69,AREAM6182,岩泉・宮古・山田,AREAL6153,三陸海岸沿岸部,PREF03,岩手県
70,AREAM6183,釜石・大槌,AREAL6153,三陸海岸沿岸部,PREF03,岩手県
71,AREAM6184,大船渡・陸前高田・住田,AREAL6153,三陸海岸沿岸部,PREF03,岩手県
72,AREAM6252,松島・利府,AREAL6250,松島・石巻・気仙沼,PREF04,宮城県
73,AREAM6254,塩釜・多賀城,AREAL6250,松島・石巻・気仙沼,PREF04,宮城県
74,AREAM6264,石巻,AREAL6250,松島・石巻・気仙沼,PREF04,宮城県
75,AREAM6435,気仙沼・南三陸,AREAL6250,松島・石巻・気仙沼,PREF04,宮城県
76,AREAM6302,秋田市,AREAL6300,秋田市,PREF05,秋田県
77,AREAM6312,能代・八峰・藤里,AREAL6301,能代・山本・男鹿,PREF05,秋田県
78,AREAM6303,男鹿・大潟・五城目,AREAL6301,能代・山本・男鹿,PREF05,秋田県
79,AREAM6304,由利本荘・にかほ,AREAL6303,由利本荘・にかほ,PREF05,秋田県
80,AREAM6305,北秋田・大館・鹿角,AREAL6304,北秋田・大館・鹿角,PREF05,秋田県
81,AREAM6306,仙北・大仙,AREAL6302,仙北・大仙・横手,PREF05,秋田県
82,AREAM6322,横手,AREAL6302,仙北・大仙・横手,PREF05,秋田県
83,AREAM6307,湯沢・羽後,AREAL6305,湯沢・羽後,PREF05,秋田県
84,AREAM6352,山形市,AREAL6350,山形市,PREF06,山形県
85,AREAM6362,米沢・高畠・南陽,AREAL6351,米沢・置賜,PREF06,山形県
86,AREAM6364,上山,AREAL6351,米沢・置賜,PREF06,山形県
87,AREAM6363,白鷹・長井・小国,AREAL6351,米沢・置賜,PREF06,山形県
88,AREAM6375,天童・東根・尾花沢,AREAL6353,天童・尾花沢・寒河江,PREF06,山形県
89,AREAM6374,寒河江・大江・朝日町,AREAL6353,天童・尾花沢・寒河江,PREF06,山形県
90,AREAM6376,新庄・最上,AREAL6354,新庄・最上,PREF06,山形県
91,AREAM6436,酒田・遊佐,AREAL6352,酒田・遊佐,PREF06,山形県
92,AREAM6372,鶴岡・庄内,AREAL6355,鶴岡・庄内,PREF06,山形県
93,AREAM6402,福島市,AREAL6400,福島市,PREF07,福島県
94,AREAM6403,二本松・本宮,AREAL6403,二本松・本宮,PREF07,福島県
95,AREAM6404,伊達・桑折・川俣,AREAL6404,伊達・桑折・川俣,PREF07,福島県
96,AREAM6437,郡山,AREAL6405,郡山,PREF07,福島県
97,AREAM6439,田村・小野・三春,AREAL6406,田村・小野・三春,PREF07,福島県
98,AREAM6440,須賀川・天栄,AREAL6407,須賀川・天栄,PREF07,福島県
99,AREAM6441,古殿・石川町・玉川村,AREAL6408,古殿・石川町・玉川村,PREF07,福島県
100,AREAM6438,白河・矢吹,AREAL6409,白河・矢吹,PREF07,福島県
101,AREAM6422,いわき,AREAL6401,いわき,PREF07,福島県
102,AREAM6423,浪江・大熊・広野,AREAL6410,浪江・大熊・広野,PREF07,福島県
103,AREAM6424,相馬・南相馬,AREAL6411,相馬・南相馬,PREF07,福島県
104,AREAM6432,会津若松,AREAL6402,会津若松・喜多方,PREF07,福島県
105,AREAM6425,猪苗代・北塩原,AREAL6402,会津若松・喜多方,PREF07,福島県
106,AREAM6426,喜多方,AREAL6402,会津若松・喜多方,PREF07,福島県
107,AREAM6427,下郷・南会津・只見,AREAL6412,下郷・南会津・只見,PREF07,福島県
108,AREAM2105,銀座,AREAL2101,銀座・有楽町・築地,PREF13,東京都
109,AREAM2107,新橋,AREAL2107,新橋・浜松町・田町,PREF13,東京都
110,AREAM2133,赤坂,AREAL2133,赤坂・六本木・麻布,PREF13,東京都
111,AREAM2136,虎ノ門,AREAL2107,新橋・浜松町・田町,PREF13,東京都
112,AREAM2172,浜松町・大門,AREAL2107,新橋・浜松町・田町,PREF13,東京都
113,AREAM2175,田町・三田,AREAL2107,新橋・浜松町・田町,PREF13,東京都
114,AREAM2187,飯田橋,AREAL2184,飯田橋・四ツ谷・神楽坂,PREF13,東京都
115,AREAM2192,神楽坂,AREAL2184,飯田橋・四ツ谷・神楽坂,PREF13,東京都
116,AREAM2309,宮崎台・鷺沼,AREAL2308,溝の口・たまプラーザ・青葉台,PREF14,神奈川県
117,AREAM2322,横浜駅,AREAL2322,横浜・東神奈川,PREF14,神奈川県
118,AREAM2340,横浜元町・山下公園,AREAL2336,みなとみらい・関内・中華街,PREF14,神奈川県
119,AREAM2364,たまプラーザ・あざみ野,AREAL2308,溝の口・たまプラーザ・青葉台,PREF14,神奈川県
120,AREAM2424,朝霞,AREAL2432,朝霞・川越・坂戸,PREF11,埼玉県
121,AREAM2434,川越,AREAL2432,朝霞・川越・坂戸,PREF11,埼玉県
122,AREAM2435,狭山,AREAL2452,所沢・入間・狭山,PREF11,埼玉県
123,AREAM2452,東松山・鶴ヶ島,AREAL2432,朝霞・川越・坂戸,PREF11,埼玉県
124,AREAM2542,柏,AREAL2542,柏・松戸・我孫子,PREF12,千葉県
125,AREAM2544,松戸,AREAL2542,柏・松戸・我孫子,PREF12,千葉県
126,AREAM2546,野田,AREAL2542,柏・松戸・我孫子,PREF12,千葉県
127,AREAM2548,我孫子,AREAL2542,柏・松戸・我孫子,PREF12,千葉県
128,AREAM2552,鎌ヶ谷,AREAL2542,柏・松戸・我孫子,PREF12,千葉県
129,AREAM2553,白井・印西,AREAL2562,成田・八千代・佐倉,PREF12,千葉県
130,AREAM2554,八千代・佐倉・四街道,AREAL2562,成田・八千代・佐倉,PREF12,千葉県
131,AREAM2556,木更津,AREAL2564,内房・外房・銚子,PREF12,千葉県
132,AREAM2558,茂原,AREAL2564,内房・外房・銚子,PREF12,千葉県
133,AREAM2560,東金・九十九里,AREAL2564,内房・外房・銚子,PREF12,千葉県
134,AREAM2562,成田・佐原,AREAL2562,成田・八千代・佐倉,PREF12,千葉県
135,AREAM2606,安中,AREAL2604,富岡・藤岡・安中,PREF10,群馬県
136,AREAM2607,藤岡・玉村,AREAL2604,富岡・藤岡・安中,PREF10,群馬県
137,AREAM2608,下仁田・上野村・神流町,AREAL2604,富岡・藤岡・安中,PREF10,群馬県
138,AREAM2609,富岡,AREAL2604,富岡・藤岡・安中,PREF10,群馬県
139,AREAM2614,伊勢崎,AREAL2605,伊勢崎,PREF10,群馬県
140,AREAM2810,牛久・龍ケ崎・阿見,AREAL2805,県南地域,PREF08,茨城県
141,AREAM2822,つくば,AREAL2802,つくば,PREF08,茨城県
142,AREAM2928,汐留,AREAL2107,新橋・浜松町・田町,PREF13,東京都
143,AREAM2929,芝公園・東京タワー周辺,AREAL2107,新橋・浜松町・田町,PREF13,東京都
144,AREAM2930,芝浦,AREAL2107,新橋・浜松町・田町,PREF13,東京都
145,AREAM2943,永田町,AREAL2133,赤坂・六本木・麻布,PREF13,東京都
146,AREAM3044,ふじみ野・上福岡,AREAL2432,朝霞・川越・坂戸,PREF11,埼玉県
147,AREAM3045,和光市,AREAL2432,朝霞・川越・坂戸,PREF11,埼玉県
148,AREAM3046,志木,AREAL2432,朝霞・川越・坂戸,PREF11,埼玉県
149,AREAM3047,坂戸,AREAL2432,朝霞・川越・坂戸,PREF11,埼玉県
150,AREAM3048,入間,AREAL2452,所沢・入間・狭山,PREF11,埼玉県
151,AREAM3054,流山,AREAL2542,柏・松戸・我孫子,PREF12,千葉県
152,AREAM3055,市原,AREAL2564,内房・外房・銚子,PREF12,千葉県
153,AREAM3056,館山,AREAL2564,内房・外房・銚子,PREF12,千葉県
154,AREAM3057,鴨川,AREAL2564,内房・外房・銚子,PREF12,千葉県
155,AREAM3058,勝浦,AREAL2564,内房・外房・銚子,PREF12,千葉県
156,AREAM3059,銚子,AREAL2564,内房・外房・銚子,PREF12,千葉県
157,AREAM3060,渋川・伊香保,AREAL2603,渋川・伊香保,PREF10,群馬県
158,AREAM3071,土浦,AREAL2805,県南地域,PREF08,茨城県
159,AREAM3072,守谷,AREAL2805,県南地域,PREF08,茨城県
160,AREAM3080,取手,AREAL2805,県南地域,PREF08,茨城県
161,AREAM2308,溝の口,AREAL2308,溝の口・たまプラーザ・青葉台,PREF14,神奈川県
162,AREAM2324,みなとみらい,AREAL2336,みなとみらい・関内・中華街,PREF14,神奈川県
163,AREAM2432,所沢,AREAL2452,所沢・入間・狭山,PREF11,埼玉県
164,AREAM2809,石岡・かすみがうら市,AREAL2805,県南地域,PREF08,茨城県
165,AREAM2106,有楽町・日比谷,AREAL2101,銀座・有楽町・築地,PREF13,東京都
166,AREAM2326,平沼,AREAL2322,横浜・東神奈川,PREF14,神奈川県
167,AREAM2956,九段下,AREAL2184,飯田橋・四ツ谷・神楽坂,PREF13,東京都
168,AREAM3018,桜木町,AREAL2336,みなとみらい・関内・中華街,PREF14,神奈川県
169,AREAM2109,築地,AREAL2101,銀座・有楽町・築地,PREF13,東京都
170,AREAM2328,浅間下,AREAL2322,横浜・東神奈川,PREF14,神奈川県
171,AREAM2332,関内・馬車道,AREAL2336,みなとみらい・関内・中華街,PREF14,神奈川県
172,AREAM2944,霞ヶ関,AREAL2133,赤坂・六本木・麻布,PREF13,東京都
173,AREAM2195,市ヶ谷,AREAL2184,飯田橋・四ツ谷・神楽坂,PREF13,東京都
174,AREAM2346,新子安・東神奈川,AREAL2322,横浜・東神奈川,PREF14,神奈川県
175,AREAM2927,月島,AREAL2101,銀座・有楽町・築地,PREF13,東京都
176,AREAM3019,伊勢佐木町・長者町,AREAL2336,みなとみらい・関内・中華街,PREF14,神奈川県
177,AREAM2336,横浜中華街,AREAL2336,みなとみらい・関内・中華街,PREF14,神奈川県
178,AREAM2365,青葉台,AREAL2308,溝の口・たまプラーザ・青葉台,PREF14,神奈川県
179,AREAM2394,三ツ沢・片倉,AREAL2322,横浜・東神奈川,PREF14,神奈川県
180,AREAM2945,神谷町,AREAL2133,赤坂・六本木・麻布,PREF13,東京都
181,AREAM2957,四谷（四ツ谷）,AREAL2184,飯田橋・四ツ谷・神楽坂,PREF13,東京都
182,AREAM2132,六本木,AREAL2133,赤坂・六本木・麻布,PREF13,東京都
183,AREAM2958,半蔵門・麹町,AREAL2184,飯田橋・四ツ谷・神楽坂,PREF13,東京都
184,AREAM2946,西麻布,AREAL2133,赤坂・六本木・麻布,PREF13,東京都
185,AREAM2959,信濃町,AREAL2184,飯田橋・四ツ谷・神楽坂,PREF13,東京都
186,AREAM2138,広尾,AREAL2133,赤坂・六本木・麻布,PREF13,東京都
187,AREAM3021,本牧・山手,AREAL2336,みなとみらい・関内・中華街,PREF14,神奈川県
188,AREAM2947,麻布十番,AREAL2133,赤坂・六本木・麻布,PREF13,東京都
189,AREAM2137,白金・白金台,AREAL2133,赤坂・六本木・麻布,PREF13,東京都
190,AREAM2115,新宿,AREAL2115,新宿・代々木,PREF13,東京都
191,AREAM2933,初台,AREAL2115,新宿・代々木,PREF13,東京都
192,AREAM2934,千駄ヶ谷,AREAL2115,新宿・代々木,PREF13,東京都
193,AREAM2122,大久保,AREAL2116,大久保・高田馬場,PREF13,東京都
194,AREAM2123,高田馬場,AREAL2116,大久保・高田馬場,PREF13,東京都
195,AREAM2935,早稲田,AREAL2116,大久保・高田馬場,PREF13,東京都
196,AREAM2126,渋谷,AREAL2125,渋谷・原宿・青山,PREF13,東京都
197,AREAM2129,原宿,AREAL2125,渋谷・原宿・青山,PREF13,東京都
198,AREAM2130,表参道・青山,AREAL2125,渋谷・原宿・青山,PREF13,東京都
199,AREAM2936,外苑前・青山一丁目,AREAL2125,渋谷・原宿・青山,PREF13,東京都
200,AREAM2157,池袋,AREAL2156,池袋・巣鴨・駒込,PREF13,東京都
201,AREAM2159,目白,AREAL2156,池袋・巣鴨・駒込,PREF13,東京都
202,AREAM2158,護国寺,AREAL2156,池袋・巣鴨・駒込,PREF13,東京都
203,AREAM2160,大塚,AREAL2156,池袋・巣鴨・駒込,PREF13,東京都
204,AREAM2937,巣鴨,AREAL2156,池袋・巣鴨・駒込,PREF13,東京都
205,AREAM2938,駒込,AREAL2156,池袋・巣鴨・駒込,PREF13,東京都
206,AREAM2939,白山,AREAL2156,池袋・巣鴨・駒込,PREF13,東京都
207,AREAM2141,丸の内,AREAL2141,東京駅・丸の内・日本橋,PREF13,東京都
208,AREAM2940,大手町,AREAL2141,東京駅・丸の内・日本橋,PREF13,東京都
209,AREAM2941,東京駅（八重洲）,AREAL2141,東京駅・丸の内・日本橋,PREF13,東京都
210,AREAM2143,日本橋,AREAL2141,東京駅・丸の内・日本橋,PREF13,東京都
211,AREAM2942,京橋,AREAL2141,東京駅・丸の内・日本橋,PREF13,東京都
212,AREAM2145,三越前,AREAL2141,東京駅・丸の内・日本橋,PREF13,東京都
213,AREAM2198,上野,AREAL2198,上野・浅草・日暮里,PREF13,東京都
214,AREAM2948,御徒町,AREAL2198,上野・浅草・日暮里,PREF13,東京都
215,AREAM2949,湯島,AREAL2198,上野・浅草・日暮里,PREF13,東京都
216,AREAM2205,浅草,AREAL2198,上野・浅草・日暮里,PREF13,東京都
217,AREAM2201,日暮里,AREAL2198,上野・浅草・日暮里,PREF13,東京都
218,AREAM2950,田端,AREAL2198,上野・浅草・日暮里,PREF13,東京都
219,AREAM2951,根津,AREAL2198,上野・浅草・日暮里,PREF13,東京都
220,AREAM2202,千駄木,AREAL2198,上野・浅草・日暮里,PREF13,東京都
221,AREAM2142,神田,AREAL2142,神田・秋葉原・水道橋,PREF13,東京都
222,AREAM2200,秋葉原,AREAL2142,神田・秋葉原・水道橋,PREF13,東京都
223,AREAM2184,御茶ノ水,AREAL2142,神田・秋葉原・水道橋,PREF13,東京都
224,AREAM2952,神保町,AREAL2142,神田・秋葉原・水道橋,PREF13,東京都
225,AREAM2953,水道橋,AREAL2142,神田・秋葉原・水道橋,PREF13,東京都
226,AREAM2954,小石川,AREAL2142,神田・秋葉原・水道橋,PREF13,東京都
227,AREAM2955,本郷,AREAL2142,神田・秋葉原・水道橋,PREF13,東京都
228,AREAM2169,品川,AREAL2169,品川・五反田・大崎,PREF13,東京都
229,AREAM2176,五反田,AREAL2169,品川・五反田・大崎,PREF13,東京都
230,AREAM2960,大崎,AREAL2169,品川・五反田・大崎,PREF13,東京都
231,AREAM2961,戸越銀座・旗の台,AREAL2169,品川・五反田・大崎,PREF13,東京都
232,AREAM2171,天王洲アイル周辺,AREAL2169,品川・五反田・大崎,PREF13,東京都
233,AREAM2113,お台場,AREAL2170,お台場・豊洲・湾岸,PREF13,東京都
234,AREAM2962,有明,AREAL2170,お台場・豊洲・湾岸,PREF13,東京都
235,AREAM2963,晴海,AREAL2170,お台場・豊洲・湾岸,PREF13,東京都
236,AREAM2111,豊洲,AREAL2170,お台場・豊洲・湾岸,PREF13,東京都
237,AREAM2178,恵比寿,AREAL2178,恵比寿・中目黒・目黒,PREF13,東京都
238,AREAM2964,代官山,AREAL2178,恵比寿・中目黒・目黒,PREF13,東京都
239,AREAM2181,中目黒,AREAL2178,恵比寿・中目黒・目黒,PREF13,東京都
240,AREAM2965,祐天寺,AREAL2178,恵比寿・中目黒・目黒,PREF13,東京都
241,AREAM2180,目黒,AREAL2178,恵比寿・中目黒・目黒,PREF13,東京都
242,AREAM2966,不動前・武蔵小山,AREAL2178,恵比寿・中目黒・目黒,PREF13,東京都
243,AREAM2164,自由が丘,AREAL2164,自由が丘・三軒茶屋・二子玉川,PREF13,東京都
244,AREAM2967,田園調布,AREAL2164,自由が丘・三軒茶屋・二子玉川,PREF13,東京都
245,AREAM2968,学芸大学,AREAL2164,自由が丘・三軒茶屋・二子玉川,PREF13,東京都
246,AREAM2166,三軒茶屋,AREAL2164,自由が丘・三軒茶屋・二子玉川,PREF13,東京都
247,AREAM2969,池尻大橋・三宿,AREAL2164,自由が丘・三軒茶屋・二子玉川,PREF13,東京都
248,AREAM2970,駒澤大学,AREAL2164,自由が丘・三軒茶屋・二子玉川,PREF13,東京都
249,AREAM2168,二子玉川・用賀,AREAL2164,自由が丘・三軒茶屋・二子玉川,PREF13,東京都
250,AREAM2207,下北沢,AREAL2207,下北沢・明大前・成城学園前,PREF13,東京都
251,AREAM2971,代々木上原,AREAL2207,下北沢・明大前・成城学園前,PREF13,東京都
252,AREAM2209,笹塚,AREAL2207,下北沢・明大前・成城学園前,PREF13,東京都
253,AREAM2972,明大前,AREAL2207,下北沢・明大前・成城学園前,PREF13,東京都
254,AREAM2973,高井戸,AREAL2207,下北沢・明大前・成城学園前,PREF13,東京都
255,AREAM2211,千歳烏山・仙川,AREAL2207,下北沢・明大前・成城学園前,PREF13,東京都
256,AREAM2215,豪徳寺・経堂,AREAL2207,下北沢・明大前・成城学園前,PREF13,東京都
257,AREAM2974,千歳船橋・成城学園前,AREAL2207,下北沢・明大前・成城学園前,PREF13,東京都
258,AREAM2975,喜多見・狛江,AREAL2207,下北沢・明大前・成城学園前,PREF13,東京都
259,AREAM2217,中野,AREAL2217,中野・吉祥寺・三鷹,PREF13,東京都
260,AREAM2976,荻窪,AREAL2217,中野・吉祥寺・三鷹,PREF13,東京都
261,AREAM2977,高円寺,AREAL2217,中野・吉祥寺・三鷹,PREF13,東京都
262,AREAM2978,方南町,AREAL2217,中野・吉祥寺・三鷹,PREF13,東京都
263,AREAM2979,落合,AREAL2217,中野・吉祥寺・三鷹,PREF13,東京都
264,AREAM2980,井荻,AREAL2217,中野・吉祥寺・三鷹,PREF13,東京都
265,AREAM2276,吉祥寺,AREAL2217,中野・吉祥寺・三鷹,PREF13,東京都
266,AREAM2981,三鷹,AREAL2217,中野・吉祥寺・三鷹,PREF13,東京都
267,AREAM2222,練馬,AREAL2222,練馬・江古田・田無,PREF13,東京都
268,AREAM2982,平和台,AREAL2222,練馬・江古田・田無,PREF13,東京都
269,AREAM2983,光が丘,AREAL2222,練馬・江古田・田無,PREF13,東京都
270,AREAM2984,大泉学園,AREAL2222,練馬・江古田・田無,PREF13,東京都
271,AREAM2985,江古田,AREAL2222,練馬・江古田・田無,PREF13,東京都
272,AREAM2986,上石神井,AREAL2222,練馬・江古田・田無,PREF13,東京都
273,AREAM2987,田無,AREAL2222,練馬・江古田・田無,PREF13,東京都
274,AREAM2282,東久留米,AREAL2222,練馬・江古田・田無,PREF13,東京都
275,AREAM2988,東村山,AREAL2222,練馬・江古田・田無,PREF13,東京都
276,AREAM2989,清瀬,AREAL2222,練馬・江古田・田無,PREF13,東京都
277,AREAM2228,錦糸町・住吉,AREAL2228,錦糸町・押上・新小岩,PREF13,東京都
278,AREAM2990,押上,AREAL2228,錦糸町・押上・新小岩,PREF13,東京都
279,AREAM2991,両国,AREAL2228,錦糸町・押上・新小岩,PREF13,東京都
280,AREAM2230,浅草橋,AREAL2228,錦糸町・押上・新小岩,PREF13,東京都
281,AREAM2992,亀戸,AREAL2228,錦糸町・押上・新小岩,PREF13,東京都
282,AREAM2993,新小岩,AREAL2228,錦糸町・押上・新小岩,PREF13,東京都
283,AREAM2232,小岩,AREAL2228,錦糸町・押上・新小岩,PREF13,東京都
284,AREAM2234,船堀・瑞江,AREAL2228,錦糸町・押上・新小岩,PREF13,東京都
285,AREAM2148,人形町・小伝馬町,AREAL2146,人形町・門前仲町・葛西,PREF13,東京都
286,AREAM2146,茅場町,AREAL2146,人形町・門前仲町・葛西,PREF13,東京都
287,AREAM2996,八丁堀,AREAL2146,人形町・門前仲町・葛西,PREF13,東京都
288,AREAM2149,門前仲町,AREAL2146,人形町・門前仲町・葛西,PREF13,東京都
289,AREAM2997,清澄白河,AREAL2146,人形町・門前仲町・葛西,PREF13,東京都
290,AREAM2998,木場,AREAL2146,人形町・門前仲町・葛西,PREF13,東京都
291,AREAM2999,東陽町,AREAL2146,人形町・門前仲町・葛西,PREF13,東京都
292,AREAM2153,南砂町・菊川,AREAL2146,人形町・門前仲町・葛西,PREF13,東京都
293,AREAM2237,西葛西・葛西,AREAL2146,人形町・門前仲町・葛西,PREF13,東京都
294,AREAM2239,新木場・葛西臨海公園,AREAL2146,人形町・門前仲町・葛西,PREF13,東京都
295,AREAM3000,南千住,AREAL2241,北千住・綾瀬・亀有,PREF13,東京都
296,AREAM2241,町屋,AREAL2241,北千住・綾瀬・亀有,PREF13,東京都
297,AREAM2243,北千住,AREAL2241,北千住・綾瀬・亀有,PREF13,東京都
298,AREAM3001,綾瀬,AREAL2241,北千住・綾瀬・亀有,PREF13,東京都
299,AREAM3002,西新井,AREAL2241,北千住・綾瀬・亀有,PREF13,東京都
300,AREAM3003,金町,AREAL2241,北千住・綾瀬・亀有,PREF13,東京都
301,AREAM3004,亀有・青砥,AREAL2241,北千住・綾瀬・亀有,PREF13,東京都
302,AREAM2250,板橋,AREAL2250,板橋・成増・赤羽,PREF13,東京都
303,AREAM3005,成増,AREAL2250,板橋・成増・赤羽,PREF13,東京都
304,AREAM3006,高島平,AREAL2250,板橋・成増・赤羽,PREF13,東京都
305,AREAM2248,赤羽,AREAL2250,板橋・成増・赤羽,PREF13,東京都
306,AREAM3007,王子,AREAL2250,板橋・成増・赤羽,PREF13,東京都
307,AREAM2254,大井町,AREAL2254,大井町・大森・蒲田,PREF13,東京都
308,AREAM3008,大森,AREAL2254,大井町・大森・蒲田,PREF13,東京都
309,AREAM2255,蒲田,AREAL2254,大井町・大森・蒲田,PREF13,東京都
310,AREAM3009,羽田,AREAL2254,大井町・大森・蒲田,PREF13,東京都
311,AREAM3010,池上・洗足池,AREAL2254,大井町・大森・蒲田,PREF13,東京都
312,AREAM2273,府中,AREAL2273,府中・調布,PREF13,東京都
313,AREAM3011,稲城,AREAL2273,府中・調布,PREF13,東京都
