,areacode_l,areaname_l,pref.pref_code,pref.pref_name
81,AREAL2125,渋谷・原宿・青山,PREF13,東京都
82,AREAL2156,池袋・巣鴨・駒込,PREF13,東京都
83,AREAL2141,東京駅・丸の内・日本橋,PREF13,東京都
84,AREAL2198,上野・浅草・日暮里,PREF13,東京都
85,AREAL2142,神田・秋葉原・水道橋,PREF13,東京都
86,AREAL2169,品川・五反田・大崎,PREF13,東京都
87,AREAL2170,お台場・豊洲・湾岸,PREF13,東京都
88,AREAL2178,恵比寿・中目黒・目黒,PREF13,東京都
89,AREAL2164,自由が丘・三軒茶屋・二子玉川,PREF13,東京都
90,AREAL2207,下北沢・明大前・成城学園前,PREF13,東京都
91,AREAL2217,中野・吉祥寺・三鷹,PREF13,東京都
92,AREAL2222,練馬・江古田・田無,PREF13,東京都
93,AREAL2228,錦糸町・押上・新小岩,PREF13,東京都
94,AREAL2146,人形町・門前仲町・葛西,PREF13,東京都
95,AREAL2241,北千住・綾瀬・亀有,PREF13,東京都
96,AREAL2250,板橋・成増・赤羽,PREF13,東京都
97,AREAL2254,大井町・大森・蒲田,PREF13,東京都
98,AREAL2273,府中・調布,PREF13,東京都
99,AREAL2923,町田・多摩,PREF13,東京都
100,AREAL2278,小金井・国分寺・国立,PREF13,東京都
101,AREAL2286,立川・八王子・青梅,PREF13,東京都
102,AREAL2295,伊豆諸島・小笠原諸島,PREF13,東京都
103,AREAL2302,川崎・鶴見,PREF14,神奈川県
104,AREAL2310,武蔵小杉・日吉・綱島,PREF14,神奈川県
105,AREAL2354,新横浜・センター南・鴨居,PREF14,神奈川県
106,AREAL2360,上大岡・金沢文庫・新杉田,PREF14,神奈川県
107,AREAL2372,横須賀・久里浜・三浦半島,PREF14,神奈川県
108,AREAL2352,戸塚・東戸塚,PREF14,神奈川県
109,AREAL2374,鎌倉・大船・逗子,PREF14,神奈川県
110,AREAL2375,藤沢・茅ヶ崎・平塚,PREF14,神奈川県
111,AREAL2294,登戸・向ヶ丘遊園・新百合ヶ丘,PREF14,神奈川県
112,AREAL2350,大和・中央林間・二俣川,PREF14,神奈川県
113,AREAL2293,相模大野・橋本・相模湖,PREF14,神奈川県
114,AREAL2296,本厚木・海老名,PREF14,神奈川県
115,AREAL2922,伊勢原・秦野・渋沢,PREF14,神奈川県
116,AREAL2380,小田原・箱根・湯河原,PREF14,神奈川県
117,AREAL2402,大宮・さいたま新都心,PREF11,埼玉県
118,AREAL2408,浦和,PREF11,埼玉県
119,AREAL2422,川口・蕨・戸田,PREF11,埼玉県
120,AREAL2428,越谷・草加・春日部,PREF11,埼玉県
121,AREAL2453,秩父・長瀞・飯能,PREF11,埼玉県
122,AREAL2442,上尾・熊谷・久喜,PREF11,埼玉県
123,AREAL2502,千葉・幕張,PREF12,千葉県
124,AREAL2524,市川・船橋・津田沼,PREF12,千葉県
125,AREAL2526,舞浜・浦安・行徳,PREF12,千葉県
126,AREAL2601,高崎,PREF10,群馬県
127,AREAL2607,前橋,PREF10,群馬県
128,AREAL2606,桐生・みどり市,PREF10,群馬県
129,AREAL2608,太田・館林・大泉,PREF10,群馬県
130,AREAL2600,草津・東吾妻・嬬恋,PREF10,群馬県
131,AREAL2602,沼田・みなかみ・片品,PREF10,群馬県
132,AREAL2700,宇都宮,PREF09,栃木県
133,AREAL2703,小山・下野,PREF09,栃木県
134,AREAL2704,真岡・益子・芳賀,PREF09,栃木県
135,AREAL2705,鹿沼・栃木市・壬生,PREF09,栃木県
136,AREAL2701,佐野,PREF09,栃木県
137,AREAL2706,足利,PREF09,栃木県
138,AREAL2702,日光・鬼怒川,PREF09,栃木県
139,AREAL2707,さくら市・高根沢,PREF09,栃木県
140,AREAL2708,那須烏山・那珂川,PREF09,栃木県
141,AREAL2709,那須塩原・大田原・矢板,PREF09,栃木県
142,AREAL2800,水戸,PREF08,茨城県
143,AREAL2804,笠間・大洗,PREF08,茨城県
144,AREAL2801,ひたちなか・日立・常陸大宮,PREF08,茨城県
145,AREAL2806,県西地域,PREF08,茨城県
146,AREAL2803,鹿行地域,PREF08,茨城県
147,AREAL6602,長岡・見附・小千谷,PREF15,新潟県
148,AREAL6607,燕市・三条市,PREF15,新潟県
149,AREAL6600,新潟市,PREF15,新潟県
150,AREAL6604,村上・関川,PREF15,新潟県
151,AREAL6601,新発田・胎内,PREF15,新潟県
152,AREAL6605,五泉・阿賀野・阿賀,PREF15,新潟県
153,AREAL6608,魚沼,PREF15,新潟県
154,AREAL6609,十日町・津南,PREF15,新潟県
155,AREAL6610,南魚沼・湯沢,PREF15,新潟県
156,AREAL6611,柏崎,PREF15,新潟県
157,AREAL6615,糸魚川,PREF15,新潟県
158,AREAL6613,上越市,PREF15,新潟県
159,AREAL6614,妙高,PREF15,新潟県
160,AREAL6603,佐渡,PREF15,新潟県
161,AREAL6700,富山市,PREF16,富山県
162,AREAL6703,立山・上市,PREF16,富山県
163,AREAL6701,滑川・魚津・黒部,PREF16,富山県
164,AREAL6702,高岡,PREF16,富山県
165,AREAL6704,砺波・南砺,PREF16,富山県
166,AREAL6705,射水,PREF16,富山県
167,AREAL6706,小矢部,PREF16,富山県
168,AREAL6707,氷見,PREF16,富山県
169,AREAL6800,金沢・野々市・かほく,PREF17,石川県
170,AREAL6802,能登・和倉温泉・輪島,PREF17,石川県
171,AREAL6801,加賀・小松・白山,PREF17,石川県
172,AREAL6900,福井市,PREF18,福井県
173,AREAL6903,奥越,PREF18,福井県
174,AREAL6904,坂井・あわら・永平寺,PREF18,福井県
175,AREAL6901,鯖江・越前市・南越前,PREF18,福井県
176,AREAL6902,敦賀・若狭・美浜,PREF18,福井県
177,AREAL6905,小浜,PREF18,福井県
178,AREAL4102,名古屋駅,PREF23,愛知県
179,AREAL4262,大曽根・北区・西区,PREF23,愛知県
180,AREAL4301,一宮・江南,PREF23,愛知県
181,AREAL4302,春日井・小牧,PREF23,愛知県
182,AREAL4832,浜松・浜名湖,PREF22,静岡県
183,AREAL4122,栄周辺,PREF23,愛知県
184,AREAL4142,（名古屋）伏見・丸の内,PREF23,愛知県
185,AREAL4162,新栄・CBC・東区,PREF23,愛知県
186,AREAL4182,金山・大須・熱田区,PREF23,愛知県
187,AREAL4202,千種区・名東区,PREF23,愛知県
188,AREAL4222,昭和区・瑞穂区・天白区,PREF23,愛知県
189,AREAL4242,中川区・港区・南区・緑区,PREF23,愛知県
190,AREAL4271,豊田,PREF23,愛知県
191,AREAL4272,岡崎・刈谷・安城,PREF23,愛知県
192,AREAL4304,尾張・長久手・日進,PREF23,愛知県
193,AREAL4306,稲沢・津島・あま市,PREF23,愛知県
194,AREAL4312,大府・東海・知多半島,PREF23,愛知県
195,AREAL4322,蒲郡・東三河・豊橋,PREF23,愛知県
196,AREAL4500,岐阜市,PREF21,岐阜県
197,AREAL4501,各務原・大垣・羽島,PREF21,岐阜県
198,AREAL4504,可児・美濃加茂・関,PREF21,岐阜県
199,AREAL4502,多治見・瑞浪・中津川,PREF21,岐阜県
200,AREAL4503,飛騨・高山,PREF21,岐阜県
201,AREAL4505,下呂,PREF21,岐阜県
202,AREAL4600,四日市,PREF24,三重県
203,AREAL4602,桑名・いなべ,PREF24,三重県
204,AREAL4603,鈴鹿,PREF24,三重県
205,AREAL4605,亀山・伊賀・名張,PREF24,三重県
206,AREAL4604,津・松阪,PREF24,三重県
207,AREAL4601,伊勢・鳥羽・志摩,PREF24,三重県
208,AREAL4606,熊野・尾鷲・大紀,PREF24,三重県
209,AREAL4700,長野・須坂・信濃,PREF20,長野県
210,AREAL4704,千曲・坂城,PREF20,長野県
211,AREAL4705,飯山・中野・志賀高原,PREF20,長野県
212,AREAL4732,軽井沢,PREF20,長野県
213,AREAL4707,小諸・御代田,PREF20,長野県
214,AREAL4701,上田・東御・長和,PREF20,長野県
215,AREAL4708,佐久・小海・川上,PREF20,長野県
216,AREAL4702,松本,PREF20,長野県
217,AREAL4709,白馬・大町,PREF20,長野県
218,AREAL4710,安曇野・筑北,PREF20,長野県
219,AREAL4711,塩尻・山形村,PREF20,長野県
220,AREAL4712,木曽・大桑・南木曽,PREF20,長野県
221,AREAL4703,岡谷・諏訪・茅野,PREF20,長野県
222,AREAL4713,伊那・箕輪・辰野,PREF20,長野県
223,AREAL4714,駒ケ根・飯島・中川,PREF20,長野県
224,AREAL4715,飯田・大鹿・根羽,PREF20,長野県
225,AREAL4751,甲府,PREF19,山梨県
226,AREAL4752,甲州・山梨市・笛吹,PREF19,山梨県
227,AREAL4753,早川・身延・南部町,PREF19,山梨県
228,AREAL4754,甲斐・韮崎・南アルプス,PREF19,山梨県
229,AREAL4755,大月・上野原・都留,PREF19,山梨県
230,AREAL4750,河口湖・富士吉田・山中湖,PREF19,山梨県
231,AREAL4800,熱海・伊豆・下田,PREF22,静岡県
232,AREAL4812,三島・沼津・御殿場,PREF22,静岡県
233,AREAL4842,富士市・富士宮,PREF22,静岡県
234,AREAL4822,静岡・清水,PREF22,静岡県
235,AREAL4851,島田・藤枝・焼津,PREF22,静岡県
236,AREAL4852,磐田・袋井・掛川,PREF22,静岡県
237,AREAL3102,梅田・北新地,PREF27,大阪府
238,AREAL3162,心斎橋,PREF27,大阪府
239,AREAL3182,淀屋橋・本町・北浜,PREF27,大阪府
240,AREAL3305,京阪エリア,PREF27,大阪府
241,AREAL3306,東大阪・八尾,PREF27,大阪府
242,AREAL3310,堺・なかもず,PREF27,大阪府
243,AREAL3413,西院・桂・長岡京,PREF26,京都府
244,AREAL3414,烏丸・大宮,PREF26,京都府
245,AREAL3432,嵐山・嵯峨野,PREF26,京都府
246,AREAL3438,大原・京都北部,PREF26,京都府
247,AREAL3442,伏見・山科・宇治,PREF26,京都府
248,AREAL3605,大和高田・橿原,PREF29,奈良県
249,AREAL3700,草津・栗東,PREF25,滋賀県
250,AREAL3704,守山・野洲,PREF25,滋賀県
251,AREAL3142,難波・道頓堀,PREF27,大阪府
252,AREAL3206,天満・天神橋筋・南森町,PREF27,大阪府
253,AREAL3208,天満橋・谷町四丁目,PREF27,大阪府
254,AREAL3223,鶴橋・上本町,PREF27,大阪府
255,AREAL3222,京橋・OBP,PREF27,大阪府
256,AREAL3242,ユニバーサルシティ・大阪南港・九条,PREF27,大阪府
257,AREAL3264,天王寺・新世界・住吉,PREF27,大阪府
258,AREAL3282,新大阪・西中島・十三,PREF27,大阪府
259,AREAL3302,江坂・千里中央・豊中,PREF27,大阪府
260,AREAL3304,茨木・高槻,PREF27,大阪府
261,AREAL3308,松原・藤井寺・河内長野,PREF27,大阪府
262,AREAL3314,岸和田・和泉・泉佐野,PREF27,大阪府
263,AREAL3402,河原町・木屋町・先斗町,PREF26,京都府
264,AREAL3412,京都御所・西陣・二条城,PREF26,京都府
265,AREAL3404,京都駅・南区,PREF26,京都府
266,AREAL3422,祇園・岡崎・清水寺,PREF26,京都府
267,AREAL3436,金閣寺・北山・銀閣寺,PREF26,京都府
268,AREAL3502,三宮・元町,PREF28,兵庫県
269,AREAL3512,神戸,PREF28,兵庫県
270,AREAL3518,灘・東灘,PREF28,兵庫県
271,AREAL3524,須磨・垂水・舞子,PREF28,兵庫県
272,AREAL3578,神戸市北区・有馬・三田,PREF28,兵庫県
273,AREAL3542,神戸ベイエリア,PREF28,兵庫県
274,AREAL3570,西宮・芦屋,PREF28,兵庫県
275,AREAL3562,尼崎・伊丹・宝塚,PREF28,兵庫県
276,AREAL3582,姫路・加古川,PREF28,兵庫県
277,AREAL3588,淡路島,PREF28,兵庫県
278,AREAL3587,明石・神戸市西区,PREF28,兵庫県
279,AREAL3586,丹波・城崎北部,PREF28,兵庫県
280,AREAL3601,奈良市・大和郡山・天理,PREF29,奈良県
281,AREAL3603,桜井・宇陀,PREF29,奈良県
282,AREAL3602,生駒,PREF29,奈良県
283,AREAL3604,王寺・広陵・香芝,PREF29,奈良県
284,AREAL3600,吉野・五條・十津川,PREF29,奈良県
285,AREAL3606,曽爾・川上・下北山,PREF29,奈良県
286,AREAL3703,近江八幡,PREF25,滋賀県
287,AREAL3705,甲賀・湖南,PREF25,滋賀県
288,AREAL3706,東近江・日野,PREF25,滋賀県
289,AREAL3701,大津市,PREF25,滋賀県
290,AREAL3707,高島,PREF25,滋賀県
291,AREAL3708,長浜・米原,PREF25,滋賀県
292,AREAL3702,彦根・多賀・愛荘,PREF25,滋賀県
293,AREAL3800,和歌山市,PREF30,和歌山県
294,AREAL3804,海南,PREF30,和歌山県
295,AREAL3803,岩出・紀の川・橋本,PREF30,和歌山県
296,AREAL3801,有田・湯浅・みなべ,PREF30,和歌山県
297,AREAL3805,田辺・白浜・すさみ,PREF30,和歌山県
298,AREAL3802,新宮・串本,PREF30,和歌山県
299,AREAL7200,岡山市,PREF33,岡山県
300,AREAL7203,津山・美咲,PREF33,岡山県
301,AREAL7300,広島市,PREF34,広島県
302,AREAL7315,廿日市市・大竹市・宮島,PREF34,広島県
303,AREAL7322,東広島・呉・竹原,PREF34,広島県
304,AREAL7332,福山・尾道・三原,PREF34,広島県
305,AREAL7342,県北・三次,PREF34,広島県
306,AREAL7201,倉敷,PREF33,岡山県
307,AREAL7202,赤磐・瀬戸内・備前,PREF33,岡山県
308,AREAL7204,井原・笠岡・浅口,PREF33,岡山県
309,AREAL7205,総社・高梁・吉備中央,PREF33,岡山県
310,AREAL7206,美作・奈義・勝央,PREF33,岡山県
311,AREAL7207,新見・真庭,PREF33,岡山県
312,AREAL7403,下関,PREF35,山口県
313,AREAL7408,宇部・山陽小野田,PREF35,山口県
314,AREAL7402,萩・美祢,PREF35,山口県
315,AREAL7407,長門,PREF35,山口県
316,AREAL7401,山口市,PREF35,山口県
317,AREAL7405,防府,PREF35,山口県
318,AREAL7406,周南・下松,PREF35,山口県
319,AREAL7400,岩国,PREF35,山口県
320,AREAL7404,光市・柳井・周防大島,PREF35,山口県
321,AREAL7150,松江,PREF32,島根県
322,AREAL7153,出雲,PREF32,島根県
323,AREAL7154,雲南・飯南・奥出雲,PREF32,島根県
324,AREAL7155,安来,PREF32,島根県
325,AREAL7156,大田・美郷・邑南,PREF32,島根県
326,AREAL7152,浜田・江津,PREF32,島根県
327,AREAL7157,津和野・益田・吉賀,PREF32,島根県
328,AREAL7151,隠岐,PREF32,島根県
329,AREAL7100,鳥取市,PREF31,鳥取県
330,AREAL7102,八頭・若桜・智頭,PREF31,鳥取県
331,AREAL7101,倉吉・湯梨浜・琴浦,PREF31,鳥取県
332,AREAL7103,米子,PREF31,鳥取県
333,AREAL7104,境港,PREF31,鳥取県
334,AREAL7105,大山・伯耆・南部,PREF31,鳥取県
335,AREAL7106,日南・日野・江府,PREF31,鳥取県
336,AREAL7802,鬼北・宇和島・愛南,PREF38,愛媛県
337,AREAL7803,伊予・砥部,PREF38,愛媛県
338,AREAL7805,今治,PREF38,愛媛県
339,AREAL7600,徳島市,PREF36,徳島県
340,AREAL7602,美馬・吉野川・石井,PREF36,徳島県
341,AREAL7603,三好,PREF36,徳島県
342,AREAL7604,小松島,PREF36,徳島県
343,AREAL7923,鳴門,PREF36,徳島県
344,AREAL7924,阿波,PREF36,徳島県
345,AREAL7601,阿南,PREF36,徳島県
346,AREAL7607,那賀・勝浦,PREF36,徳島県
347,AREAL7608,美波・牟岐・海陽,PREF36,徳島県
348,AREAL7800,松山,PREF38,愛媛県
349,AREAL7804,久万高原・東温,PREF38,愛媛県
350,AREAL7801,西条・新居浜・四国中央,PREF38,愛媛県
351,AREAL7806,八幡浜・大洲・西予,PREF38,愛媛県
352,AREAL7700,高松,PREF37,香川県
353,AREAL7701,三木・さぬき・東かがわ,PREF37,香川県
354,AREAL7704,三豊・観音寺,PREF37,香川県
355,AREAL7702,坂出・丸亀・善通寺,PREF37,香川県
356,AREAL7703,小豆島・直島,PREF37,香川県
357,AREAL7901,高知市,PREF39,高知県
358,AREAL7903,南国・香南・香美,PREF39,高知県
359,AREAL7904,大豊・本山・土佐町,PREF39,高知県
360,AREAL7905,土佐・須崎・いの町,PREF39,高知県
361,AREAL7906,仁淀川・越知・佐川,PREF39,高知県
362,AREAL7900,安芸・室戸,PREF39,高知県
363,AREAL7907,梼原・津野・四万十町,PREF39,高知県
364,AREAL7902,四万十市・土佐清水,PREF39,高知県
365,AREAL7908,宿毛,PREF39,高知県
366,AREAL5010,天神・親富孝,PREF40,福岡県
367,AREAL5011,大名・赤坂・今泉,PREF40,福岡県
368,AREAL5020,警固・薬院,PREF40,福岡県
369,AREAL5040,博多,PREF40,福岡県
370,AREAL5070,福岡市南区・大橋,PREF40,福岡県
371,AREAL5090,西新・百道,PREF40,福岡県
372,AREAL5091,福岡市早良区,PREF40,福岡県
373,AREAL5130,北九州,PREF40,福岡県
374,AREAL5151,久留米,PREF40,福岡県
375,AREAL5154,春日・太宰府・筑紫野,PREF40,福岡県
376,AREAL5435,大牟田・柳川,PREF40,福岡県
377,AREAL5030,大濠・六本松・桜坂,PREF40,福岡県
378,AREAL5050,中洲・春吉・川端,PREF40,福岡県
379,AREAL5100,姪浜・福岡市西区・糸島,PREF40,福岡県
380,AREAL5110,香椎・箱崎・その他東区,PREF40,福岡県
381,AREAL5120,別府・その他城南区,PREF40,福岡県
382,AREAL5155,宗像・糟屋・筑豊,PREF40,福岡県
383,AREAL5150,佐賀市,PREF41,佐賀県
384,AREAL5156,鳥栖・みやき・神埼,PREF41,佐賀県
385,AREAL5157,伊万里・有田,PREF41,佐賀県
386,AREAL5152,唐津・呼子・玄海,PREF41,佐賀県
387,AREAL5158,多久・小城,PREF41,佐賀県
388,AREAL5153,武雄,PREF41,佐賀県
389,AREAL5159,嬉野・鹿島・太良,PREF41,佐賀県
390,AREAL5160,白石・大町・江北町,PREF41,佐賀県
391,AREAL5200,長崎市,PREF42,長崎県
392,AREAL5205,西海,PREF42,長崎県
393,AREAL5206,時津・長与,PREF42,長崎県
394,AREAL5207,雲仙・島原・南島原,PREF42,長崎県
395,AREAL5201,諫早・大村,PREF42,長崎県
396,AREAL5202,佐世保,PREF42,長崎県
397,AREAL5209,波佐見・川棚,PREF42,長崎県
398,AREAL5210,平戸・松浦,PREF42,長崎県
399,AREAL5203,五島,PREF42,長崎県
400,AREAL5204,壱岐・対馬,PREF42,長崎県
401,AREAL5250,熊本市,PREF43,熊本県
402,AREAL5251,荒尾・玉名・長洲,PREF43,熊本県
403,AREAL5256,山鹿・大津・菊陽,PREF43,熊本県
404,AREAL5257,西原・益城・御船,PREF43,熊本県
405,AREAL5253,宇土・宇城・美里,PREF43,熊本県
406,AREAL5258,水俣・芦北・津奈木,PREF43,熊本県
407,AREAL5252,小国・阿蘇・南阿蘇,PREF43,熊本県
408,AREAL5255,上天草・天草・苓北,PREF43,熊本県
409,AREAL5254,人吉・球磨・錦町,PREF43,熊本県
410,AREAL5300,大分市,PREF44,大分県
411,AREAL5304,臼杵・津久見,PREF44,大分県
412,AREAL5302,別府・湯布院・杵築,PREF44,大分県
413,AREAL5301,佐伯,PREF44,大分県
414,AREAL5305,豊後大野,PREF44,大分県
415,AREAL5306,竹田,PREF44,大分県
416,AREAL5307,日田・玖珠・九重,PREF44,大分県
417,AREAL5303,中津・宇佐・豊後高田,PREF44,大分県
418,AREAL5350,宮崎市,PREF45,宮崎県
419,AREAL5353,小林・えびの・高原町,PREF45,宮崎県
420,AREAL5354,都城・三股,PREF45,宮崎県
421,AREAL5351,日南・串間,PREF45,宮崎県
422,AREAL5355,延岡・日向・門川,PREF45,宮崎県
423,AREAL5352,高鍋・西都・都農,PREF45,宮崎県
424,AREAL5356,五ヶ瀬・高千穂・日之影,PREF45,宮崎県
425,AREAL5357,美郷・椎葉・西米良,PREF45,宮崎県
426,AREAL5400,鹿児島市,PREF46,鹿児島県
427,AREAL5404,いちき串木野・日置,PREF46,鹿児島県
428,AREAL5405,枕崎・南さつま・指宿,PREF46,鹿児島県
429,AREAL5406,霧島・薩摩川内・姶良,PREF46,鹿児島県
430,AREAL5407,阿久根・出水・伊佐,PREF46,鹿児島県
431,AREAL5408,志布志・曽於・大崎,PREF46,鹿児島県
432,AREAL5401,鹿屋・垂水・肝付,PREF46,鹿児島県
433,AREAL5402,種子島・屋久島,PREF46,鹿児島県
434,AREAL5403,奄美大島・徳之島・与論,PREF46,鹿児島県
435,AREAL8100,那覇,PREF47,沖縄県
436,AREAL8400,名護・本島北部,PREF47,沖縄県
437,AREAL8200,恩納・北谷・本島中部,PREF47,沖縄県
438,AREAL8150,糸満・本島南部,PREF47,沖縄県
439,AREAL8450,沖縄離島,PREF47,沖縄県
